,ComNum,ComName,District
0,1,Rogers Park,FarNorth
1,2,West Ridge,FarNorth
2,3,Uptown,FarNorth
3,4,Lincoln Square,FarNorth
4,5,North Center,North
5,6,Lake View,North
6,7,Lincoln Park,North
7,8,Near North Side,Central
8,32,Loop,Central
9,33,Near South Side,Central
10,9,Edison Park,FarNorth
11,10,Norwood Park,FarNorth
12,11,Jefferson Park,FarNorth
13,12,Forest Glen,FarNorth
14,13,North Park,FarNorth
15,14,Albany Park,FarNorth
16,76,O'Hare,FarNorth
17,77,Edgewater,FarNorth
18,15,Portage Park,NorthWest
19,16,Irving Park,NorthWest
20,17,Dunning,NorthWest
21,18,Montclare,NorthWest
22,19,Belmont Cragin,NorthWest
23,20,Hermosa,NorthWest
24,23,Humboldt Park,West
25,24,West Town,West
26,25,Austin,West
27,26,West Garfield Park,West
28,27,East Garfield Park,West
29,28,Near West Side,West
30,29,North Lawndale,West
31,30,South Lawndale,West
32,31,Lower West Side,West
33,34,Armour Square,South
34,35,Douglas,South
35,36,Oakland,South
36,37,Fuller Park,South
37,38,Grand Boulevard,South
38,39,Kenwood,South
39,40,Washington Park,South
40,41,Hyde Park,South
41,42,Woodlawn,South
42,43,South Shore,South
43,60,Bridgeport,South
44,69,Greater Grand Crossing,South
45,56,Garfield Ridge,SouthWest
46,57,Archer Heights,SouthWest
47,58,Brighton Park,SouthWest
48,59,McKinley Park,SouthWest
49,61,New City,SouthWest
50,62,West Elsdon,SouthWest
51,63,Gage Park,SouthWest
52,64,Clearing,SouthWest
53,65,West Lawn,SouthWest
54,66,Chicago Lawn,SouthWest
55,67,West Englewood,SouthWest
56,68,Englewood,SouthWest
57,44,Chatham,FarSouth
58,45,Avalon Park,FarSouth
59,46,South Chicago,FarSouth
60,47,Burnside,FarSouth
61,48,Calumet Heights,FarSouth
62,49,Roseland,FarSouth
63,50,Pullman,FarSouth
64,51,South Deering,FarSouth
65,52,East Side,FarSouth
66,53,West Pullman,FarSouth
67,54,Riverdale,FarSouth
68,55,Hegewisch,FarSouth
69,70,Ashburn,FarSouthWest
70,71,Auburn Gresham,FarSouthWest
71,72,Beverly,FarSouthWest
72,73,Washington Heights,FarSouthWest
73,74,Mount Greenwood,FarSouthWest
74,75,Morgan Park,FarSouthWest
75,21,Avondale,North
76,22,Logan Square,North
